U 2453184.9025 79.21 -0.428 -6.348 6.362 0.596 133.1  2.7   1.9 6.348 0.634
B 2453184.9008 79.23 -0.155 -6.267 6.269 0.347 134.3  1.6   0.6 6.267 0.354
V 2453184.8975 79.27 -0.214 -5.020 5.025 0.244 133.8  1.4   1.0 5.021 0.253
R 2453184.9029 79.20 -0.223 -4.408 4.414 0.275 133.6  1.8   1.5 4.408 0.288
I 2453184.9050 79.18  0.659 -5.164 5.206 0.571 138.6  3.1   3.6 5.166 0.637
U 2453185.7840 69.76  4.126 -3.670 5.522 0.788 159.2  4.1   5.9 5.404 0.932
U 2453185.8593 68.98  5.639 -3.909 6.861 0.776 162.6  3.2   4.7 6.768 0.893
U 2453185.9008 68.55  6.376 -2.260 6.765 0.593 170.2  2.5   1.7 6.753 0.626
U 2453185.9357 68.20  3.940 -1.338 4.161 0.815 170.6  5.5   1.0 4.158 0.843
B 2453185.7898 69.70  3.722 -3.959 5.434 0.349 156.6  1.8   8.7 5.187 0.437
B 2453185.8530 69.05  4.303 -2.682 5.070 0.331 164.0  1.9   3.1 5.040 0.366
B 2453185.9002 68.56  4.731 -2.264 5.244 0.438 167.2  2.4   1.4 5.238 0.458
B 2453185.9299 68.25  4.233 -2.261 4.799 0.512 165.9  3.0   3.5 4.763 0.570
V 2453185.7904 69.70  3.770 -2.555 4.554 0.152 162.9  1.0   2.4 4.539 0.165
V 2453185.8516 69.06  3.789 -2.272 4.418 0.145 164.5  0.9   2.6 4.400 0.157
V 2453185.8933 68.63  3.855 -1.835 4.270 0.107 167.3  0.7   1.1 4.267 0.112
V 2453185.9330 68.22  3.875 -1.490 4.152 0.147 169.5  1.0   0.0 4.152 0.147
R 2453185.7822 69.78  3.401 -2.110 4.003 0.110 164.1  0.8   1.0 4.001 0.114
R 2453185.8484 69.10  3.926 -2.552 4.683 0.149 163.5  0.9   3.6 4.647 0.166
R 2453185.8951 68.61  3.786 -1.924 4.246 0.109 166.5  0.7   1.9 4.237 0.116
R 2453185.9316 68.24  3.452 -1.593 3.802 0.124 167.6  0.9   1.9 3.794 0.132
I 2453185.7924 69.67  3.628 -2.667 4.503 0.241 161.8  1.5   3.5 4.469 0.269
I 2453185.8573 69.00  3.765 -2.066 4.295 0.185 165.6  1.2   1.7 4.287 0.196
I 2453185.8979 68.58  3.683 -1.108 3.846 0.246 171.6  1.8   3.1 3.824 0.271
I 2453185.9339 68.21  3.864 -1.675 4.211 0.285 168.3  1.9   1.3 4.207 0.297
U 2453186.7300 61.55  5.595 -0.072 5.596 0.812 179.6  4.1 174.5 5.492 0.952
U 2453186.8847 60.30  5.573  1.316 5.726 0.709   6.6  3.5   0.9 5.723 0.729
U 2453186.9198 60.02  4.189  1.931 4.613 0.407  12.4  2.5   4.4 4.559 0.464
